
source_board_name,source_url,provider_name,provider_legal_name,provider_type,description,street_1,street_2,city,state,zip,county,phone,fax,email,website,intake_phone,hours,services_raw,payment_raw,telehealth_available,languages_raw,populations_raw,level_of_care_raw,mat_options_raw,peer_support_available,peer_services_raw,npi,license_raw,last_verified_date,verified_status,verification_evidence,notes
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Cedar Ridge Behavioral Health Solutions,,,,118 West Main Street,,St. Clairsville,OH,43950.0,Belmont,855-692-7247,,,crbhs.org,,,Mental health & substance abuse services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Chrysalis Health Ohio,,,,220 Murdock Avenue,,Mingo Junction,OH,43938.0,Jefferson,740-314-8195,,,chrysalishealthohio.com,,,Mental health & substance use services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Coleman Health Services,,,,68150 Bayberry Drive,,St. Clairsville,OH,43950.0,Belmont,740-695-7010,,,colemanservices.org,,,Mental health & addiction recovery services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,ECOESC-Student Services,,,,67400 Betty Lee Way,,St. Clairsville,OH,43950.0,Belmont/Monroe,740-695-9773,,,ecoesc.org,,,School and community-based prevention and early intervention programs,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,NAMI Greater Wheeling,,,,1035 Chapline St.,,Wheeling,WV,26003.0,Wheeling,304-905-0635,,,namiwheeling.org,,,Mental health advocacy and support,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Neurobehavioral Medicine Consultants,,,,"4697 Harrison Street, Level 3 South Building",,Bellaire,OH,43906.0,Belmont,740-968-7006,,,neurobehavioralmed.com,,,Neurobehavioral medical services,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Southeast Healthcare (St. Clairsville),,,,68353 Bannock Road,,St. Clairsville,OH,43950.0,Belmont,740-695-9344,,,southeasthc.org,,,"Outpatient counseling, crisis, case management, primary care",,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Southeast Healthcare (Cadiz),,,,241 S. Main St,,Cadiz,OH,43907.0,Harrison,740-942-4905,,,southeasthc.org,,,"Outpatient counseling, crisis, case management",,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Southeast Healthcare (Martins Ferry),,,,301 Walnut Street,,Martins Ferry,OH,43936.0,Belmont,740-633-2161,,,southeasthc.org,,,"Outpatient counseling, crisis, case management",,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Belmont, Harrison & Monroe Counties MHR Board",https://www.bhmboard.org/system-of-care/,Southeast Healthcare (Woodsfield),,,,37990 Airport Rd,,Woodsfield,OH,43793.0,Monroe,740-472-0753,,,southeasthc.org,,,"Outpatient counseling, crisis, case management",,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,AJA Behavioral,,,,3478 W Elm St.,,Lima,OH,45807.0,,419-335-6122,,,www.ajabehavioral.com,,,Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Brightview,,,,1505 North Cole St.,,Lima,OH,45801.0,,866-934-7450,,,www.brightviewhealth.com/locations/lima-addiction-treatment-center,,,Medication Assisted Treatment; Mental Health Treatment,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Coleman Health Services,,,,799 S. Main St.,,Lima,OH,45804.0,,419-229-2222,,,www.colemanservices.org,,,Levy Funded; Medication Assisted Treatment; Mental Health Treatment,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Coleman Health Services - Changing Seasons Drop-In Center,,,,529 S. Elizabeth St.,,Lima,OH,45801.0,,567-242-6044,,,www.colemanservices.org/services/counseling,,,Levy Funded; Mental Health Treatment; Peer-Led Drop-In Wellness; Recovery & Support Center,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Community Medical Services,,,,2727 St. Johns Rd. Suite D,,Lima,OH,45804.0,,567-940-9145,,,www.communitymedicalservices.org/locations/addiction-treatment-lima-ohio,,,Medication Assisted Treatment; Recovery; Mental Health Treatment,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Cornerstone of Hope (Lima),,,,2963 Blue Jacket Ct.,,Lima,OH,45806.0,,567-940-9145,,,www.cornerstoneofhopelima.org,,,Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Cornerstone of Hope (Bluffton),,,,505 E. Jefferson St.,,Bluffton,OH,45817.0,,567-940-9145,,,www.cornerstoneofhopelima.org,,,Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Creative Counseling Solutions,,,,2653 W. Elm St.,,Lima,OH,45805.0,,419-222-5449,,,www.creativecounselingsolutions.com,,,Mental Health Treatment,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Family Resource Center (Lima Campus),,,,530 South Main St.,,Lima,OH,45804.0,,419-222-1168,,,www.frcohio.com,,,Levy Funded; Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Health Partners of Western Ohio - Dr. Gene Wright Community Health Center,,,,441 E 8th St.,,Lima,OH,45804.0,,419-221-3072,,,www.hpwohio.org/service/substance-use-treatment,,,Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Health Partners of Western Ohio - QuickCare,,,,1550 N. Main St.,,Lima,OH,45801.0,,419-516-0327,,,www.hpwohio.org/service/substance-use-treatment,,,Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Health Partners of Western Ohio - Perry Health Center (Perry High School),,,,2770 E. Breese Rd.,,Lima,OH,45806.0,,419-812-2915,,,www.hpwohio.org/service/substance-use-treatment,,,Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Health Partners of Western Ohio - Spartan Health Center,,,,1 Spartan Way,,Lima,OH,45801.0,,419-996-3436,,,www.hpwohio.org/service/substance-use-treatment,,,Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,House of New Hope - Marimor School,,,,2500 Ada Rd.,,Lima,OH,45801.0,,888-200-1296,,,www.houseofnewhope.org/mental-health-services.html,,,Mental Health Treatment,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Lighthouse Behavioral Health Solutions,,,,North Cable Rd.,,Lima,OH,45805.0,,419-969-3125,,,www.lighthousebhsolutions.com,,,Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,Lima Recovery Clinic,,,,1273 N Cole St.,,Lima,OH,45805.0,,419-302-3574,,,www.limarecovery.com,,Monday and Wednesday: 3 pm-6 pm,Medication Assisted Treatment; Recovery; Mental Health Treatment,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,SperoHealth,,,,"709 North Cable Rd., Suite A",,Lima,OH,45805.0,,567-371-4398,,,www.sperohealth.com/locations/lima-oh,,,Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,St. Rita’s Internal Medicine & Medication Management,,,,"750 W. High St., Suite 240",,Lima,OH,45801.0,,419-996-5037,,,www.mercy.com/locations/specialty-locations/anticoagulation-clinics/mercy-health-st-ritas-medication-management,,,Levy Funded; Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
"Allen, Auglaize & Hardin Counties MHRS Board",https://www.wecarepeople.org/agencies,UMADAOP (Urban Minority Alcoholism and Drug Abuse Outreach Programs),,,,"311 E Market St., 3rd floor",,Lima,OH,45801.0,,419-222-4474,,,www.limaumadaop.com/single-service-mat.html,,,Levy Funded; Medication Assisted Treatment; Recovery; Mental Health Treatment; Outpatient,,,,,,,,,,,2025-12-29,likely_active,Board directory listing accessed 2025-12-29,
Brown County Board of Mental Health & Addiction Services,https://bcmhas.org/service-providers,"Child Focus, Inc.",,,,710 N. High Street,,Mt. Orab,OH,45154.0,,937-444-1613,,,,,8:00 a.m.–9:00 p.m. Monday-Thursday; 8:00 a.m.-4:30 p.m. Friday,Case Management; Counseling/Psychotherapy; Crisis Intervention; Diagnostic Assessment; Pharmacotherapy,,,,,,,,,,,2025-12-29,likely_active,Board service providers page accessed 2025-12-29,
Brown County Board of Mental Health & Addiction Services,https://bcmhas.org/service-providers,Talbert House: Brown County Recovery Services (Georgetown),,,,75 Banting Drive,,Georgetown,OH,45121.0,,937-378-4811,,,,,,Outpatient Mental Health Services; Outpatient Substance Abuse and Addiction Services; Crisis Intervention,,,,,,,,,,,2025-12-29,likely_active,Board service providers page accessed 2025-12-29,
Brown County Board of Mental Health & Addiction Services,https://bcmhas.org/service-providers,Talbert House: Brown County Recovery Services (Mt. Orab),,,,709 N. High Street,,Mt. Orab,OH,45154.0,,937-444-6127,,,,,,Outpatient Mental Health Services; Outpatient Substance Abuse and Addiction Services; Crisis Intervention,,,,,,,,,,,2025-12-29,likely_active,Board service providers page accessed 2025-12-29,
Brown County Board of Mental Health & Addiction Services,https://bcmhas.org/service-providers,Brightview,,,,421 Home St.,,Georgetown,OH,45121.0,,888-501-9865,,,,,,OTP (Opioid Treatment Program),,,,,,,,,,,2025-12-29,likely_active,Board service providers page accessed 2025-12-29,
Brown County Board of Mental Health & Addiction Services,https://bcmhas.org/service-providers,Pinnacle,,,,303 E Cherry St.,,Georgetown,OH,45121.0,,740-273-4417,,,,,,OTP (Opioid Treatment Program),,,,,,,,,,,2025-12-29,likely_active,Board service providers page accessed 2025-12-29,
Brown County Board of Mental Health & Addiction Services,https://bcmhas.org/service-providers,Ray of Hope,,,,91 Market Street,,Aberdeen,OH,45101.0,,937-795-5020,,,,,,OTP (Opioid Treatment Program),,,,,,,,,,,2025-12-29,likely_active,Board service providers page accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,SpringVale Health Centers – Dover Office,,,,201 Hospital Drive,,Dover,OH,44622.0,,330-343-6631,,,www.springvalehealth.org,,,Counseling and Behavioral Health Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,SpringVale Health Centers – New Philadelphia Office,,,,567 Wabash NW,,New Philadelphia,OH,44663.0,,330-343-3050,,,www.springvalehealth.org,,,Counseling and Behavioral Health Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,SpringVale Health Centers – Family Health Center,,,,204 Bellevue Avenue,,Dover,OH,44622.0,,330-365-1781,,,,,,Counseling and Behavioral Health Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,SpringVale Health Centers – Carrollton Office,,,,331 W. Main Street,,Carrollton,OH,44615.0,,330-627-4313,,,www.springvalehealth.org,,,Counseling and Behavioral Health Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,"Southeast, Inc. (New Philadelphia)",,,,344 W. High Avenue,,New Philadelphia,OH,44663.0,,330-339-7850,,,www.southeastinc.com,,,Counseling and Behavioral Health Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,"ACE, Inc.",,,,"P.O. Box 621, 115 Third Street SW",,New Philadelphia,OH,44663.0,,330-308-8604,,,www.acemhrecovery.org,,,Recovery Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,Guiding Grace Counseling,,,,547 1/2 South James Street,,Dover,OH,44622.0,,330-343-7400,,,www.guidinggracecounseling.com,,,Counseling Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,Chrysalis Counseling Center,,,,1029 W. High Avenue,,New Philadelphia,OH,44663.0,,330-364-9360,,,www.chrysaliscounseling.com,,,Counseling Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,New Life Counseling,,,,130 W 3rd St,,Dover,OH,44622.0,,330-343-6600,,,www.newlifedover.com,,,Counseling Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
ADAMHS Board of Tuscarawas and Carroll Counties,https://adamhtc.org/counseling-and-behavioral-health-tuscarawas-county/,The Village Network (Uhrichsville),,,,"117 E. Third Street, Rear P.O. Box 290",,Uhrichsville,OH,44683.0,,740-922-2144,,,www.thevillagenetwork.org,,,Counseling and Behavioral Health Services,,,,,,,,,,,2025-12-29,likely_active,Counseling and Behavioral Health (Tusc) directory accessed 2025-12-29,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Adkins & Affiliates,,,,468 County Road 11,,Bellefontaine,OH,,,937-599-2662,,,www.adkins-affiliates.business.site,,,Mental Health Services; Substance Abuse Services,,,,Adults; Adolescents; Marriage/Family Counseling; Individual and Group Counseling,,,,,,,2025-12-29,likely_active,"Board directory 2025, provider listed; site accessible",
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Bridges Counseling,,,,"246 W. 5th St., Ste 203",,Marysville,OH,,,614-248-8922,,,www.bridgescounselingohio.com,,,Mental Health Services; Christian-Based,,,,Adolescents; Children; Families; Couples,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Catholic Charities,,,,"Mercy Hospital, 904 Scioto St",,Urbana,OH,,,866-635-9713,,,,,,Mental Health Services; Substance Abuse Services,,,,Adults; Adolescents,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,"Christine Greenwald, LPCC",,,,115 N Main St,,Bellefontaine,OH,43311.0,,937-375-9367,,,www.christinegreenwald.com,,,Mental health therapy; treatment of complex/childhood trauma; religious trauma; neurodiversity,,,,Adults; Adolescents; LGBTQ+,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Cornerstone Care Counseling Center,,,,120 E Townsend St North,,Lewisburg,OH,,,937-935-3028,,,,,,Mental Health Services; Substance Abuse Services; Crisis Services; Medication Referral/Monitoring,,,,Adults; Adolescents; Family,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,"Fowler Counseling & Consultation Services, LLC",,,,"643 Bodey Circle, Unit 100",,Urbana,OH,43078.0,,937-631-0257,,,www.karenfowlerlpccs.com,,,Mental Health Services; Substance Abuse Services; EAP Counseling,,,,Adults; Adolescents,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,"Jeanne Oesch, LISW",,,,681 London Ave,,Marysville,OH,43040.0,,937-642-4577,,,,,,Mental Health Services,,,,Adults,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Lighthouse Behavioral Health Solutions,,,,104 N Main St,,Marysville,OH,43040.0,,937-303-4534,,,www.lighthousebhsolutions.com,,,Substance Abuse Services; Psychiatric Services; Recovery Residences; Peer Support; Medication Assisted Treatment,,,,Adults,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Light The Way Christian Counseling,,,,221 Fountain Place,,Bellefontaine,OH,,,937-593-9600,,,www.lightthewaybellefontaine.com,,,Mental Health Services; Marriage Counseling,,,,Adults; Adolescents; Couples,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Lower Lights Health – UnionStar,,,,773 S Walnut St,,Marysville,OH,43040.0,,614-274-1455,,,www.llhc.org,,,Mental Health Services; Psychiatric Services; Medication Assisted Treatment,,,,Adults,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Malu Counseling,,,,388 Damascus Rd,,Marysville,OH,43040.0,,380-209-8630,,,www.malu-cousneling.com,,,Mental Health Services; Couples Counseling,,,,Adults; Couples; LGBTQ+; Geriatric,,,,,,,2025-12-29,likely_active,Board directory 2025,
