day,section,chapter,excerpt_start_words,excerpt_end_words,core_idea,modern_clinical_interpretation,
11,Front matter,The Doctor's Opinion,There are many situations which arise out of the phenom- enon of craving which cause men to make the supreme sacrifice rather then continue to fight.,"The classification of alcoholics seems most difficult, and in much detail is outside the scope of this book.",Craving and its consequences can create such despair that some people would rather die than keep struggling.,"Today this is understood as a serious suicide and self‑harm risk in alcohol use disorder: craving, repeated losses, and shame can create a sense of unbearable, unending suffering. Motivational interviewing emphasizes empathy and safety, inviting honest discussion of suicidal thoughts without judgment and gently exploring whether any part of the person still hopes for a different future, even a small one. Cognitive behavioral therapy adds structured suicide‑focused work: identifying thoughts (“It will never get better”), images, and situations that drive suicidal urges; developing safety plans and coping steps; and practicing alternative actions—like calling a support person or using coping strategies—before acting on the urge, so there are practical ways to “continue to fight” besides enduring alone.​",
12,Front matter,The Doctor's Opinion,"There are, of course, the psychopaths who are emotionally unstable.","They are often able, intelligent, friendly people.","Alcoholism appears in many psychological “types,” including people who are outwardly successful but emotionally unstable, yet all share a common vulnerability once they drink.","Modern language would emphasize that people with alcohol use disorder vary widely: some have marked mood or personality difficulties, others appear high‑functioning, but they share a tendency to lose control once they start drinking. Motivational interviewing avoids stigmatizing labels by focusing on each person’s unique story and goals, asking what kind of life they want rather than defining them by a diagnosis or stereotype, and partnering with them on change. Cognitive behavioral therapy allows individualized case formulations: for those with emotional instability, work may focus on managing intense emotions and impulsive reactions; for high‑functioning individuals, it may address perfectionism, denial, or overconfidence that masks risk, all while keeping the shared mechanism—loss of control after the first drink—central in treatment planning.​",
13,Front matter,The Doctor's Opinion,"All these, and many others, have one symptom in com- mon: they cannot start drinking without developing the phenomenon of craving.",The only relief we have to suggest is entire abstinence.,"Whatever their psychological differences, once they start drinking, craving and loss of control reliably follow; total abstinence is recommended.","Clinically, this means that for people with severe alcohol use disorder, any amount of alcohol greatly increases the chance of escalating use, so a “no first drink” rule is usually the safest long‑term goal. Motivational interviewing is crucial when discussing abstinence because many people still hope for controlled drinking; it helps them compare their actual experience of “just one” with their goals and supports them in deciding for themselves whether abstinence fits their pattern. Cognitive behavioral therapy then supports an abstinence goal by identifying situations and thoughts that lead to that first drink, challenging rationalizations (“One won’t hurt,” “I can start tomorrow”), and rehearsing alternative behaviors—such as leaving events early, refusing drinks assertively, or arranging alcohol‑free activities—until abstinence becomes a lived pattern rather than just an idea.​",
14,Front matter,The Doctor's Opinion,This immediately precipitates us into a seething caldron of debate.,"among physicians, the general opinion seems to be that most chronic alcoholics are doomed.",Abstinence recommendations and historical medical pessimism about “chronic alcoholics” created controversy and hopelessness.,"Modern evidence shows that many people with severe alcohol use disorder do recover, often after multiple attempts and with ongoing support, even though risk remains elevated. Motivational interviewing deliberately avoids doom‑laden predictions and instead emphasizes personal choice and realistic hope, asking questions like “What kind of future would you like to move toward, even if the road is hard?” to shift attention from being “doomed” to considering meaningful change. Cognitive behavioral therapy helps counter hopeless beliefs (“I am doomed,” “Nothing works for me”) by examining real‑life examples of coping and improvement, however small, and by breaking large, intimidating goals into smaller, achievable steps that can gradually provide evidence against the sense of inevitability.​",
15,Front matter,The Doctor's Opinion,What is the solution? Perhaps I can best answer this by relating one of my experiences.,A long time has passed with no return to alcohol.,The doctor presents a detailed success story: someone moved from hopelessness to long-term sobriety by following the outlined plan.,"Clinically, such stories are used to build hope and illustrate pathways to change—medical stabilization, acceptance of help, engagement with a program, and sustained practice leading to long‑term sobriety. Motivational interviewing makes use of these narratives by asking the listener what feels similar or different from their own situation and what, if anything, they might want to try from the example, so the story becomes personally meaningful rather than just inspirational. Cognitive behavioral therapy extends the value of the story by breaking it into specific, observable steps (seeking help, avoiding certain triggers, practicing honesty, connecting with others) and helping the person choose a few of those steps to apply in their own life, tracking the effects so that the case example becomes a model for practical behavior change rather than a distant ideal.",
31,Main text,Bill's Story,We commenced to make many fast friends and a fellowship has grown up among us of which it is a wonderful thing to feel a part.,"In God's hands, we began to talk freely of Him.",A new social world and sense of belonging grow around shared recovery and spiritual focus.,"Clinically, this describes the emergence of a recovery‑oriented peer network that replaces isolation with connection and shared purpose, which is known to support sustained sobriety and reduce relapse risk. Motivational interviewing would explore how this fellowship matches the person’s own needs for community and support (“What is it like to be around people who understand your struggle?”), strengthening motivation to stay connected. Cognitive behavioral therapy would encourage using this network strategically—for example, scheduling contact with peers before predictable high‑risk times—and would help the person notice and challenge thoughts that discourage connection (“I don’t belong,” “They don’t really care”), reinforcing participation in recovery‑supportive relationships.​",
32,Main text,Bill's Story,My wife and I abandoned ourselves with enthusi- asm to the idea of helping other alcoholics to a solution of their problems.,There is scarcely any form of trouble and misery which has not been overcome among us.,"The couple devotes themselves to helping other alcoholics and sees broad, positive change in many lives.","Clinically, this highlights the role of service and peer support: actively helping others with similar problems can strengthen one’s own recovery by providing meaning, accountability, and a reminder of where one came from. Motivational interviewing would help a person explore how helping others fits with their values (“What does it mean to you to use your experience to benefit someone else?”) and what forms of service feel sustainable at their current stage of recovery. Cognitive behavioral therapy integrates service into relapse‑prevention by identifying specific, realistic helping behaviors (sharing their story, outreach, sponsorship), addressing anxious or self‑critical thoughts about these roles (“I have nothing to offer”), and noting how such actions improve mood, reduce isolation, and reinforce reasons to stay sober.​",
33,Main text,There Is a Solution,"WE, OF ALCOHOLICS ANONYMOUS, know thousands of men and women who were once just as hopeless as Bill.",This is the great news this book carries to those who suffer from alcoholism.,The message shifts from a single story to a common solution shared by thousands who were once hopeless.,"Clinically, this conveys universality and hope: many people with severe alcohol use disorder, not just one, have recovered, which can counter the belief “no one like me gets better.” Motivational interviewing can amplify this by asking how hearing about “thousands” affects the person’s sense of what is possible for them (“Does this change how you view your chances at all?”), inviting new hope without pressure. Cognitive behavioral therapy uses this information to challenge global hopeless thoughts (“I’m a special case; nothing works for me”) and to justify trying structured change strategies (meetings, coping skills, planning), since others with similar severity have benefited from them.​",
34,Main text,There Is a Solution,An illness of this sort--and we have come to believe it an illness--involves those about us in a way no other human sickness can.,"We hope this volume will inform and comfort those who are, or who may be affected.","Alcoholism is framed as an illness that deeply affects family and others, and the book is offered as information and comfort to them as well as to the drinker.","Modern practice emphasizes that alcohol use disorder is a family disease: partners, children, and others experience stress, trauma, and role changes, and they also need information and support. Motivational interviewing can be used with both individuals and families to explore their experiences, needs, and hopes (“How has alcohol affected your family?” “What would you like to be different?”), fostering collaborative change goals rather than blame. Cognitive behavioral therapy with families can map interaction patterns (for example, arguments, enabling, withdrawal), teach communication and problem‑solving skills, and help family members challenge beliefs like “If I just try harder, I can control their drinking,” leading to healthier boundaries and a more supportive environment for recovery.​",
35,Main text,There Is a Solution,We are average Americans.,"But we are convinced that to an alcoholic, such as we have known him, the world is not the same as it once was.","The speakers identify as ordinary people but insist that, for alcoholics, the world feels fundamentally altered by the illness.","Clinically, this acknowledges that while people with alcohol use disorder may look “normal” on the outside, their internal experience of craving, guilt, and fear changes how they perceive everyday life. Motivational interviewing invites people to describe this altered experience in their own words (“How does the world look different to you when you’re drinking or trying not to drink?”), which can deepen self‑understanding and motivation for change. Cognitive behavioral therapy can then work directly with the beliefs and perceptions that have shifted (“The world is dangerous,” “Everyone is judging me”), examining their accuracy and impact on behavior, and building more balanced appraisals that support healthier coping and social engagement.​",
36,Main text,There Is a Solution,There is a solution.,Time out of mind men have searched their own minds or the minds of others to find the solution to their alcoholic problem.,The text insists there is a way out and notes that people have long sought solutions in various ways.,"Clinically, this reinforces hope while recognizing that many attempts—thinking harder, willpower, advice—have not worked, suggesting that a different approach is needed. Motivational interviewing uses this contrast by exploring what the person has already tried, what they hoped those efforts would do, and what they want to be different this time, helping them move toward considering new strategies like structured therapy and support. Cognitive behavioral therapy offers a specific kind of “different approach” by shifting from vague introspection (“searching the mind”) to systematic functional analysis and skills training, helping people see concrete links between situations, thoughts, feelings, and drinking, and then practice alternative responses that did not exist in previous attempts.​",
37,Main text,There Is a Solution,"We have, in the main, approached alcoholism as an illness which only a spiritual experience will conquer.",We feel that elimination of our drinking is but a beginning.,Alcoholism is approached as an illness that requires a spiritual experience; stopping drinking is seen as only the first step in a larger transformation.,"Modern interpretations often translate “spiritual experience” into a deep shift in values, meaning, and identity, alongside behavioral and emotional change. Motivational interviewing can explore what “more than just not drinking” means to the person (“Beyond stopping alcohol, what kind of life do you want?”), anchoring motivation in broader life change rather than mere abstinence. Cognitive behavioral therapy supports the idea that elimination of drinking is a beginning by continuing work after initial abstinence on mood, relationships, and life roles—addressing underlying beliefs and skills deficits so that the broader transformation (for example, becoming more honest, responsible, and connected) can develop and support long‑term recovery.​",
38,Main text,There Is a Solution,We are convinced that a spiritual mode of living is a most powerful health restorative.,Our more religious members call it “God-consciousness.”,"A spiritual way of life is described as a powerful restorer of health, sometimes called “God-consciousness.”","Clinically, this points to the importance of meaning, purpose, and a sense of connection to something larger than oneself—factors associated with better mental health and recovery outcomes. Motivational interviewing respects diverse beliefs by asking what, if any, spiritual or meaning‑based ideas feel helpful to the person, and how those ideas might support their health and recovery (“What gives your life a sense of purpose?”), rather than imposing a particular theology. Cognitive behavioral therapy can complement this by helping clients identify and strengthen supportive beliefs (for example, “My life has value,” “I am part of something bigger”) and by challenging harsh, punitive spiritual interpretations (“I’m being punished,” “I’m beyond forgiveness”) that increase shame and relapse risk, steering toward more compassionate, health‑promoting perspectives.​",
39,Main text,There Is a Solution,The tremendous fact for every one of us is that we have discovered a common solution.,"But we saw that it really worked in others, and we had come to believe in the hopelessness and futility of life as we had been living it.",The key point is that people who saw their lives as hopeless discovered a shared solution by observing it working in others and accepting their own futility.,"Clinically, this describes identification (“They’re like me”) and social proof (“It worked for them”), which are powerful factors in changing beliefs about what is possible. Motivational interviewing leverages this by asking how seeing others recover influences the person’s beliefs about their own situation (“If it worked for people who felt as hopeless as you, what does that suggest?”), gently shifting from resignation to openness. Cognitive behavioral therapy uses this new information to challenge global beliefs of futility (“Nothing can help”) and to justify experimenting with the “common solution”—such as attending groups and using coping skills—as behavioral tests of a new, more hopeful hypothesis about their ability to change.​",
40,Main text,There Is a Solution,We had a new Employer.,"We became less and less interested in ourselves, our little plans and designs.","A shift is described from self‑directed life (“our little plans”) to seeing a higher power as the “employer,” leading to reduced self‑centeredness.","Modern clinical language would say that the person moves from a self‑centered, control‑focused lifestyle to one guided by chosen higher principles or values, reducing obsession with self and increasing focus on contribution and connection. Motivational interviewing can help clients define what “new employer” or guiding principle means to them personally (for example, family, service, faith, integrity) and explore how living under that “employment” changes their decisions about alcohol and daily conduct. Cognitive behavioral therapy operationalizes this shift by helping clients translate their chosen guiding principles into specific behaviors (for example, showing up reliably, being honest, helping others) and by examining self‑centered thoughts (“I have to get my way,” “My plans are all that matter”) when they arise, replacing them with more balanced, value‑consistent thinking that supports sobriety.​",
41,Main text,There Is a Solution,"As we felt new power flow in, as we enjoyed peace of mind, as we discovered we could face life successfully,",We were reborn.,"The narrative describes an experience of new strength, peace, and competence in facing life, summed up as being “reborn.”","Clinically, this reflects improvements in self‑efficacy (confidence in handling life), emotional stability, and identity, which often emerge as people maintain sobriety and practice new skills and values. Motivational interviewing would highlight and reinforce these gains (“What are you handling differently now?”), helping the person link them to their efforts and choices rather than attributing change only to external forces, which can strengthen commitment to continued recovery behaviors. Cognitive behavioral therapy can help consolidate this “rebirth” by identifying specific thoughts and actions that contributed to the improved state (for example, asking for help, using coping skills, maintaining routines) and by planning to continue and expand those habits, while also preparing for inevitable future stressors so that confidence does not collapse at the first setback.​",
42,Main text,There Is a Solution,Most of us sense that real tolerance of other people's shortcomings and viewpoints and a respect for their opinions are attitudes which make us more useful to others.,"We have begun to learn tolerance, patience and good will toward all men, even our enemies, for we look on them as sick people.","Learning tolerance, patience, and goodwill toward others—including those who have harmed us—is presented as part of the new way of living.","Clinically, this involves cognitive and emotional shifts in how others are viewed (from enemies to “sick people”) and in how one responds to perceived wrongs, which can reduce anger and resentment that otherwise trigger craving and relapse. Motivational interviewing might explore the person’s own reasons for wanting to be more tolerant (“How does it feel when you let go of some of that anger?”) and how this change connects with their values and sobriety goals. Cognitive behavioral therapy provides structured work on resentment and interpersonal triggers: identifying anger‑provoking thoughts (“They did this on purpose”), evaluating their accuracy, and experimenting with alternative interpretations and responses (such as setting boundaries or practicing empathy), which can lower emotional arousal and reduce risk of drinking in response to interpersonal stress.​",
43,Main text,There Is a Solution,"An occasional good performance by us, that feeling of being “on the beam,”","We have tried hard to hold the path, but have failed.",The text contrasts occasional good behavior and feeling “on the beam” with a history of repeated failure to maintain that state by self‑effort alone.,"Clinically, this captures the familiar pattern of brief improvements followed by relapse into old behavior, leading to frustration and discouragement. Motivational interviewing would invite the person to look at what was happening during times they felt “on the beam” (what they were doing differently, what support they had) and what changed before each return to old patterns, fostering insight without blame. Cognitive behavioral therapy then uses this information to identify maintaining conditions for improvement (for example, routine, connection, coping skills) and risk factors for deterioration (fatigue, isolation, certain thoughts like “I’ve got this now”), helping design a maintenance plan that makes helpful behaviors more consistent rather than sporadic.​",
44,Main text,There Is a Solution,We have found much of heaven and we have been rocketed into a fourth dimension of existence of which we had not even dreamed.,"The great fact is just this, and nothing less: That we have had deep and effective spiritual experiences which have revolutionized our whole attitude toward life, toward our fellows and toward God's universe.","A profound spiritual or existential change is described as revolutionizing attitudes toward self, others, and the world.","Clinically, this corresponds to transformative shifts in worldview and identity: people report seeing themselves, relationships, and life’s meaning in a fundamentally new, more hopeful and connected way. Motivational interviewing acknowledges and supports such experiences while helping the person articulate how this new outlook translates into specific ongoing choices (“Given how you see things now, what are you moved to do differently day to day?”), which anchors the change in behavior. Cognitive behavioral therapy can help integrate this transformation by aligning daily thoughts and actions with the new attitudes (for example, replacing old cynical or hostile thinking with more trusting, collaborative perspectives) and by preparing the person for periods when the intensity of the experience fades, so they can continue to live out their new values even when feelings are less dramatic.​",
45,Main text,There Is a Solution,"If you are as seriously alcoholic as we were, we believe there is no middle-of-the-road solution.",It demands rigorous honesty.,"The authors state that for serious alcoholics, there is no middle‑of‑the‑road solution; rigorous honesty and full measures are required.","Clinically, this reflects the idea that for people with severe alcohol use disorder, half‑measures—such as partial cutting down or hiding use—tend not to work and that sustained recovery demands clear, honest engagement with change. Motivational interviewing supports this by exploring the person’s own experience with “middle‑of‑the‑road” attempts (for example, controlled drinking, secret use) and inviting them to draw their own conclusions about what level of commitment and honesty is needed for them. Cognitive behavioral therapy operationalizes “rigorous honesty” by encouraging truthful self‑monitoring of urges, use, and high‑risk situations, including when lapses occur, and by addressing thoughts that promote dishonesty (“If I admit this, I’ll be rejected”), so that honest reporting becomes a skill that protects recovery instead of a threat to it.",
16,Main text,Bill's Story,"My brother-in-law is a physician, and through his kindness and that of my mother I was placed in a na- tionally-known hospital",Surely this was the answer--self-knowledge.,"Hospitalization, physical rehabilitation, and self-knowledge are tried as a solution but do not prevent later relapse.","In modern terms this describes acute treatment and insight-oriented work that improve short-term functioning but do not by themselves change the patterns that drive alcohol use. Motivational interviewing (a collaborative counseling style that explores a person’s mixed feelings about change) would add structured conversations about what the hospital stay and new self-knowledge actually mean for the person’s goals, rather than assuming insight alone will keep them sober. Cognitive behavioral therapy (a structured therapy that links situations, thoughts, emotions, and behaviors) would then focus on identifying the specific triggers, beliefs, and habits that continue after discharge (“I’ll be different this time,” “I can handle one drink”) and teach concrete coping skills so that self‑knowledge is translated into different actions in high‑risk situations.​",
17,Main text,Bill's Story,"But it was not, for the frightful day came when I drank once more.",We would soon have to give me over to the undertaker or the asylum.,Relapse occurs despite strong fear and knowledge; the illness is seen as progressive and potentially fatal.,"Today this would be recognized as a relapse after treatment, illustrating that alcohol use disorder is chronic and that fear and insight are not enough to maintain change. Motivational interviewing would explicitly explore this relapse without blame, asking what happened and what the person now wants, and reinforcing that a return to drinking is information about what support and skills are still needed, not proof they are hopeless. Cognitive behavioral therapy would treat this event as a case study, mapping the chain of events, thoughts (“Maybe one won’t hurt”), emotions (fear, shame), and behaviors that led back to drinking, then designing a relapse-prevention plan that addresses each link with alternative responses and support in future similar situations.​",
18,Main text,Bill's Story,No words can tell of the loneliness and despair I found in that bitter morass of self-pity.,How dark it is before the dawn!,"Profound loneliness, self‑pity, and despair lead to a sense of complete defeat that precedes openness to a new solution.","Clinically, this describes a severe depressive and hopeless state often seen in advanced alcohol use disorder, where the person feels isolated, worthless, and unable to imagine improvement. Motivational interviewing responds to such despair with empathy and careful listening, looking for even small expressions of desire or concern (“I can’t go on like this”) and helping the person see these as seeds of motivation rather than signs of failure. Cognitive behavioral therapy would work with the hopeless thinking (“Nothing will ever change,” “I am beyond help”) by gently testing these beliefs against experience, identifying exceptions (times when the person did cope or accept help), and building small, achievable goals that can gradually create evidence that life can improve, helping to move from “darkness” toward “dawn.”​",
19,Main text,Bill's Story,My wife became deeply affected.,She wept when I did not.,"Family members are deeply affected; the alcoholic sees the emotional damage but still cannot control drinking, increasing guilt and strain.","Today this would be framed as the systemic impact of alcohol use disorder—spouses and family members experience fear, sadness, and exhaustion, while the drinker feels guilt and shame yet remains trapped in the pattern. Motivational interviewing can be used with the drinker to explore how their values (for example, wanting to be a loving partner) clash with the effects of their drinking, helping build discrepancy in a non‑attacking way that can strengthen motivation to accept help. Cognitive behavioral therapy often involves family where appropriate, helping all parties understand the cycle (use → conflict → guilt → more use), teaching communication skills, and challenging beliefs like “I’ve already ruined everything” that keep the person stuck, while also building specific plans to protect family members and create a more supportive home environment for recovery.​",
20,Main text,Bill's Story,An all night place supplied me with a dozen glasses of ale.,"So two bottles, and-- oblivion.","Alcohol is used to quell withdrawal and mental agony, temporarily quieting both physical symptoms and terrifying thoughts.","Clinically, this illustrates negative reinforcement: drinking removes or reduces unbearable physical and psychological distress, which trains the brain to see alcohol as the only available relief. Motivational interviewing would acknowledge that, given what the person knew at the time, drinking seemed like the only way to survive those mornings, then explore what other forms of relief they might be willing to try if safe alternatives (like medications and support) were offered. Cognitive behavioral therapy would map this “morning terror → drink → relief” loop and introduce replacement strategies—such as prescribed withdrawal medication, relaxation techniques, and calling a support person—that can be practiced in advance and used when the distress spikes, gradually weakening the association between unbearable feelings and automatic drinking.​",
21,Main text,Bill's Story,"My brother-in-law is a physician, and through his kindness and that of my mother I was placed in a na- tionally-known hospital for the mental and physical rehabilitation of alcoholics.",This time I meant business.,A second structured attempt at treatment is made; the person is again sincere and determined to quit.,"In modern practice, repeated treatment episodes are common and can be seen as part of a learning process rather than simple repetition. Motivational interviewing helps surface both the hope (“This time I mean it”) and the fear (“I’ve failed before”) and supports the person in setting realistic, personally meaningful goals for this treatment episode, including what they want to do differently from past attempts. Cognitive behavioral therapy uses the history of prior treatment to tailor the current plan: for example, if previous stays focused mostly on detox, this time the plan might include more work on coping skills, high‑risk situations, and follow‑up supports, so that determination is backed by specific behavioral strategies rather than willpower alone.​",
22,Main text,Bill's Story,"But my friend sat before me, and he made the point- blank declaration that God had done for him what he could not do for himself.",He shouted great tidings.,"A recovered peer claims that a power beyond his own will did what his self‑effort could not, offering a model of hope and a different way of understanding change.","In contemporary terms, this can be seen as a powerful peer testimonial: someone similar to the person describes moving from failure to sustained sobriety with the help of something larger than self‑will, whether understood as spirituality, community, or deeply held values. Motivational interviewing makes use of such stories by asking the listener what stands out and whether anything in the peer’s experience feels relevant to their own struggle, allowing the person to explore the meaning of “something beyond willpower” without imposing a specific belief system. Cognitive behavioral therapy can help translate this into practical terms by identifying which specific behaviors accompanied this shift (for example, attending meetings, asking others for help, avoiding certain places) and helping the client experiment with similar behaviors, while also examining any unhelpful thoughts that might block them (“I shouldn’t need help,” “If I can’t do it myself, I’m weak”).​",
23,Main text,Bill's Story,"My friend suggested what then seemed a novel idea. He said, WHY DON'T YOU CHOOSE YOUR OWN CONCEPTION OF GOD?""""",Upon a foundation of complete willingness I might build what I saw in my friend.,"The person is invited to form a personal, flexible understanding of a higher power and to begin with willingness rather than rigid doctrine.","Clinically, this reflects an individualized approach to spirituality or meaning-making: instead of being told what to believe, the person is encouraged to adopt a personally acceptable concept that can support hope and change. Motivational interviewing aligns closely with this by emphasizing autonomy and choice, asking questions like “What kind of larger purpose or guiding principle, if any, feels helpful to you right now?” and supporting the client’s chosen direction rather than prescribing one. Cognitive behavioral therapy can work alongside this by exploring how certain rigid or hostile beliefs (“Any higher power is nonsense,” “I’m being punished”) might intensify guilt or hopelessness, and by helping the client experiment with more flexible, supportive beliefs—whether spiritual or secular—that are consistent with their values and that reduce relapse‑related shame and self‑attack.​",
